date,open,high,low,close,adjusted_close,volume
2023-01-17,52.52,53.9,51.02,53.53,53.53,3907500
2023-01-18,54.2,54.91,52.79,52.89,52.89,4862500
2023-01-19,51.6,53.12,51.17,51.29,51.29,4192800
2023-01-20,52.0,54.17,51.45,54.16,54.16,3801500
2023-01-23,56.35,59.0,56.14,58.91,58.91,5404700
2023-01-24,58.02,59.75,56.66,57.09,57.09,4397500
2023-01-25,59.9,64.6,59.4,63.34,63.34,8521000
2023-01-26,65.0,65.89,62.09,64.42,64.42,6310200
2023-01-27,63.56,66.75,63.5,66.66,66.66,4237600
2023-01-30,66.11,66.28,63.15,63.21,63.21,4996600
2023-01-31,64.11,66.32,64.0,65.57,65.57,4687300
2023-02-01,65.7,67.67,64.53,66.79,66.79,6305500
2023-02-02,70.65,72.49,69.78,71.39,71.39,5984900
2023-02-03,68.87,73.03,68.44,70.93,70.93,6173200
2023-02-06,69.23,71.06,69.18,69.34,69.34,2971600
2023-02-07,69.43,69.73,66.38,68.82,68.82,4309300
2023-02-08,68.49,69.34,66.92,66.98,66.98,3810500
2023-02-09,68.25,68.63,66.51,66.86,66.86,4456600
2023-02-10,65.52,65.58,63.27,64.44,64.44,3159900
2023-02-13,64.68,65.47,64.04,65.03,65.03,2588100
2023-02-14,65.21,67.62,64.18,66.82,66.82,3140900
2023-02-15,68.39,71.9,67.4,71.44,71.44,4426900
2023-02-16,61.95,63.07,59.6,60.39,60.39,7161500
2023-02-17,59.49,60.76,57.89,58.7,58.7,4715700
2023-02-21,56.84,57.87,55.64,56.06,56.06,3727300
2023-02-22,56.96,58.09,55.61,57.01,57.01,4248300
2023-02-23,57.99,57.99,55.56,57.38,57.38,3644600
2023-02-24,55.36,56.1,54.43,55.43,55.43,3887900
2023-02-27,55.55,55.7,53.92,54.94,54.94,2695000
2023-02-28,54.99,56.34,54.88,56.18,56.18,3645500
2023-03-01,56.18,56.46,54.5,54.54,54.54,3255800
2023-03-02,53.28,56.3,53.16,55.97,55.97,3230300
2023-03-03,56.43,59.1,56.22,58.99,58.99,3318100
2023-03-06,59.55,59.98,58.82,59.2,59.2,2849500
2023-03-07,58.86,59.7,57.94,58.4,58.4,3664000
2023-03-08,58.26,60.43,57.84,60.25,60.25,2880200
2023-03-09,60.3,63.27,59.1,59.47,59.47,4594500
2023-03-10,58.07,58.71,55.98,57.33,57.33,4965500
2023-03-13,55.87,58.65,54.78,57.38,57.38,5369100
2023-03-14,58.59,60.41,58.59,59.88,59.88,3698600
2023-03-15,58.69,59.96,58.02,59.92,59.92,3798200
2023-03-16,59.6,61.56,57.9,61.32,61.32,4318700
2023-03-17,60.73,62.25,60.2,61.36,61.36,6835600
2023-03-20,60.6,60.64,58.57,59.93,59.93,2950900
2023-03-21,60.21,63.14,60.2,62.73,62.73,3471900
2023-03-22,62.68,64.62,61.38,61.69,61.69,3623600
2023-03-23,62.62,64.04,61.89,62.79,62.79,3808000
2023-03-24,62.15,62.78,60.86,61.73,61.73,2780000
2023-03-27,62.37,62.84,60.59,61.58,61.58,2620500
2023-03-28,61.48,62.0,59.9,60.25,60.25,3239800
2023-03-29,60.9,63.39,60.83,63.31,63.31,4156400
2023-03-30,63.98,64.02,62.3,62.91,62.91,3103000
2023-03-31,63.1,65.15,62.19,64.8,64.8,4030100
2023-04-03,63.71,64.08,62.65,63.97,63.97,3808000
2023-04-04,64.03,64.77,63.71,64.02,64.02,3064100
2023-04-05,63.71,63.76,60.81,60.85,60.85,3779700
2023-04-06,60.35,61.44,58.76,61.18,61.18,3175900
2023-04-10,60.54,61.61,59.67,61.24,61.24,2592600
2023-04-11,60.94,61.51,59.53,60.33,60.33,3323600
2023-04-12,63.45,65.63,60.8,60.89,60.89,6300100
2023-04-13,61.19,62.47,60.86,60.99,60.99,3206800
2023-04-14,60.84,62.11,60.2,61.99,61.99,2783600
2023-04-17,61.85,65.44,61.46,64.98,64.98,4268200
2023-04-18,65.5,66.72,65.13,65.92,65.92,3256400
2023-04-19,65.01,66.42,64.9,66.01,66.01,2967700
2023-04-20,65.25,65.63,64.19,64.55,64.55,5998200
2023-04-21,65.1,66.33,64.83,66.27,66.27,4879300
2023-04-24,66.08,67.02,64.4,65.02,65.02,3000100
2023-04-25,64.5,64.58,63.15,63.34,63.34,2843600
2023-04-26,64.4,64.59,63.01,63.28,63.28,3228700
2023-04-27,64.53,64.75,63.09,64.67,64.67,2684000
2023-04-28,64.15,66.17,64.06,65.64,65.64,3568300
2023-05-01,65.26,66.28,63.84,64.04,64.04,2859800
2023-05-02,63.59,64.83,62.8,63.72,63.72,2812500
2023-05-03,63.92,65.15,62.94,63.05,63.05,3154300
2023-05-04,73.0,81.2,73.0,77.65,77.65,9667300
2023-05-05,77.26,83.72,76.86,83.04,83.04,5247000
2023-05-08,81.83,87.0,81.71,86.13,86.13,5471500
2023-05-09,84.93,85.6,83.52,85.5,85.5,4191600
2023-05-10,85.8,87.53,84.47,84.58,84.58,4382400
2023-05-11,84.23,85.03,83.04,84.93,84.93,3127300
2023-05-12,84.18,84.56,82.75,83.12,83.12,3081300
2023-05-15,82.29,83.88,82.05,83.03,83.03,2628200
2023-05-16,82.05,83.29,81.06,81.14,81.14,2746200
2023-05-17,81.15,82.18,80.18,81.73,81.73,2630300
2023-05-18,81.94,83.59,81.14,82.21,82.21,4078300
2023-05-19,82.05,82.36,80.79,81.31,81.31,2917300
2023-05-23,82.71,83.75,78.3,78.77,78.77,5457500
2023-05-24,77.86,81.32,77.25,80.18,80.18,8353600
2023-05-25,81.08,81.16,78.35,78.67,78.67,2441800
2023-05-26,78.77,81.58,78.68,80.69,80.69,3077900
2023-05-29,81.33,81.96,81.0,81.48,81.48,900800
2023-05-30,82.3,83.61,78.59,79.14,79.14,3304000
2023-05-31,79.01,80.46,77.21,77.67,77.67,4214900
2023-06-01,76.3,78.78,75.09,77.88,77.88,3129800
2023-06-02,79.25,80.2,77.8,78.25,78.25,2750200
2023-06-05,77.91,81.67,77.67,80.56,80.56,3399600
2023-06-06,83.0,85.86,81.71,85.35,85.35,4414500
2023-06-07,85.79,86.44,79.35,79.67,79.67,5581400
2023-06-08,79.15,81.71,77.535,79.17,79.17,4415100
2023-06-09,79.7,82.96,79.66,81.88,81.88,3397200
2023-06-12,82.9,87.75,82.81,86.96,86.96,3733600
2023-06-13,88.06,88.64,84.26,84.99,84.99,3190300
2023-06-14,85.09,88.35,84.95,87.85,87.85,3372100
2023-06-15,87.0,87.65,85.0,87.44,87.44,3399100
2023-06-16,88.55,89.02,85.1,85.53,85.53,8106200
2023-06-19,85.5,85.94,85.2,85.53,85.53,269500
2023-06-20,86.0,88.12,83.93,85.03,85.03,3087400
2023-06-21,84.74,85.64,81.63,83.16,83.16,2728100
2023-06-22,82.34,84.27,81.74,83.47,83.47,2847700
2023-06-23,82.03,84.3,81.37,84.11,84.11,2445200
2023-06-26,83.48,85.5,83.05,83.15,83.15,2139200
2023-06-27,83.91,85.04,82.87,84.1,84.1,2345100
2023-06-28,84.7,87.92,83.94,85.65,85.65,2708600
2023-06-29,86.11,86.14,83.77,84.46,84.46,2269400
2023-06-30,85.37,86.48,84.98,85.62,85.62,4895600
